77,77,77,77,94,75,75,76,77,77
83,77,77,84,85,75,75,96,90,77
-1,-1,-1,-1,83,77,99,-1,-1,-1
77,77,77,77,94,75,75,-1,-1,-1
83,77,77,84,85,75,75,96,90,77
-1,-1,-1,-1,83,77,99,-1,-1,-1
-1,-1,-1,-1,119,75,75,76,77,77
83,77,77,84,85,75,75,96,90,77
-1,-1,-1,-1,83,77,99,-1,-1,-1
77,77,77,77,98,76,98,76,77,77
-1,-1,-1,-1,97,-1,97,-1,-1,-1
-1,-1,-1,-1,109,-1,109,-1,-1,75
77,77,77,77,94,75,76,77,77,77
83,77,77,84,85,75,96,90,77,77
-1,-1,-1,-1,83,99,-1,-1,-1,-1
77,77,77,77,94,75,75,-1,-1,-1
83,77,77,84,85,75,96,90,77,77
-1,-1,-1,-1,83,99,-1,-1,-1,-1
-1,-1,-1,-1,119,75,76,77,77,77
83,77,77,84,85,75,96,90,77,77
-1,-1,-1,-1,83,99,-1,-1,-1,-1
41,37,38,37,38,75,75,75,75,75
49,124,77,77,124,98,76,124,77,77
-1,-1,-1,-1,-1,83,89,104,-1,-1
